"","name","rating","n_ratings","lat","lon"
"1","Almatur Poznań sp. z o.o.",4.3,57,52.4055687,16.9251043
"2","Santander Bank Polska S.A.",3.7,26,52.4072735,16.9218354
"3","Apliko",4.8,58,52.4068926,16.9280289
"4","Grand Theatre, Poznań",4.7,2631,52.409947,16.9178862
"5","GOKO TAKEAWAY",4.1,488,52.4110411,16.9121023
"6","Fit Expert Poznan",3.8,48,52.4134506,16.9143709
"7","Ministerstwo Browaru",4.6,1577,52.4060277,16.9252352
"8","Galeria MM",3.9,6644,52.4061635,16.9277701
"9","Sklep Fajowo.eu",4.8,276,52.4068121,16.9217883
"10","Billaboom",4.2,695,52.4091423,16.9104776
"11","Polish Theater in Poznan 1875",4.7,1032,52.4084216,16.9236361
"12","Apollo Cinema",4.6,1922,52.4046753,16.9264374
"13","Apteka. Dom Leków",3.6,87,52.4076188,16.9210197
"14","Żabka",3.3,176,52.405574,16.924663
"15","POLCAN",4.6,50,52.4126476,16.9228466
"16","SpecShop.pl - Militaria, Strzelectwo, Samoobrona",4.4,380,52.412922,16.9229403
"17","Centrum Kultury Zamek",4.7,2484,52.4076533,16.9192016
"18","Mollini Ristorante kuchnia włoska",4.6,808,52.4063285,16.92601
"19","Trekker Sport",4.8,431,52.4043833,16.9224073
"20","Specjalistyczny Okulistyczny Niepubliczny Zakład Opieki Zdrowotnej OCU SERVICE",4.2,74,52.4146279,16.9057937
"21","Świat Alkoholi",4,306,52.4137802,16.9097398
"22","Francuski Łącznik",4.3,1227,52.4224481,16.90596
"23","Wielkopolskie Centrum Medycyny Pracy",2.2,247,52.4136348,16.9139359
"24","Inventline Tonery Poznań Darmowa dostawa",4.7,41,52.4177224,16.9137882
"25","Dentistry - Bamberski Manor",4.5,169,52.4170314,16.9056831
"26","Joker Sp. z o.o.",3.7,60,52.4189104,16.9143277
"27","Studio Meblowe Boutique Pierrot Poznań",4.6,11,52.417843,16.9149609
"28","LexStrada Kancelaria Prawa Pracy Przemysław Dziubak radca prawny",4.6,83,52.4154632,16.9100594
"29","WALCZAK - wooden floors - showroom",4.9,10,52.4140355,16.9086812
"30","Perła. Pralnia chemiczna",4.8,30,52.4150872,16.9083676
"31","Multimoto",5,16,52.4173393,16.9048201
"32","Żabka",3.8,201,52.421859,16.909077
"33","PREMIO PROMYK SERWIS",4.1,254,52.416729,16.9103284
"34","Bell of Peace and Friendship Among Nations",4.5,243,52.4196016,16.9356894
"35","Pomnik Armii Poznań",4.8,189,52.4151633,16.9305405
"36","Silvan Logistics - Spedycja Poznań",3.5,93,52.41667,16.931138
"37","Sąd Okręgowy",4.1,336,52.4138096,16.9283224
"38","aPit Sp. z o.o. Doradca podatkowy",4.2,5,52.4233484,16.9252752
"39","Żabka",4.4,259,52.4162318,16.9300835
"40","Sklep Biegacza",4.4,306,52.4150833,16.927047
"41","Lidl",4.3,1395,52.415348,16.9347151
"42","Władysław Czarnecki Park",4.6,733,52.4339719,16.92926
"43","Bar u Grochowej",4.4,761,52.4268522,16.9170342
"44","Klinika Misja Sokoła (dawniej Medyk Poliklinika)",3.6,36,52.4278109,16.9119084
"45","Przychodnia studencka Piątkowska 94 Poznań",2.3,38,52.4301176,16.917124
"46","Medical Center Dynasplint",4.8,188,52.4277281,16.9250028
"47","NOVAX",4.3,349,52.4267008,16.9186365
"48","Apteka Dr.Max",3.2,119,52.4282701,16.9156948
"49","Kaufland Poznań",4.2,5427,52.4350166,16.9276836
"50","Apteka Wielkopolska",3.8,24,52.4352112,16.927116
"51","Delta Biuro Tłumaczeń i Obsługi Biznesu",4.7,14,52.4267817,16.9225553
"52","Bank Pekao",2.1,61,52.4353396,16.9247131
"53","SPEC KABLE - Hurtownia i sklep elektryczny",4.8,640,52.4362448,16.9230678
"54","Biedronka",4,1197,52.4261806,16.9120106
"55","Kalamis",4.6,42,52.4269453,16.9226775
"56","Proderma",4.3,21,52.4328934,16.9163033
"57","epaka.pl - punkt nadań i odbioru przesyłek",4.7,67,52.4301659,16.914876
"58","Ptasie Radio",4.6,2678,52.4066313,16.9197718
"59","Atelier-Kulisy - wypożyczalnia kostiumów i peruk",4.6,94,52.4076127,16.9233442
"60","Shisha Club Gallery",4.4,566,52.4056259,16.9221782
"61","T. Łomnicki Nowy Theatre",4.8,1777,52.4109555,16.9124043
"62","Księgarnia Omnibus",4.5,86,52.4063889,16.9244444
"63","Kancelaria Notarialna Paweł Kolasa notariusz Andrzej Kolasa notariusz S.C.",4.6,10,52.4120639,16.9199298
"64","Biedronka",3.9,962,52.4072833,16.9218595
"65","Bank Pocztowy",4.1,12,52.4070298,16.9187583
"66","Logos Travel",4.1,34,52.409726,16.9107481
"67","elektroserwis40",4.2,30,52.4118933,16.9066209
"68","Art Line 1997",4.9,494,52.4114673,16.9097655
"69","Stomar Plus. Prywatna przychodnia stomatologiczna",5,9,52.413015,16.912629
"70","Garnitury Poznań ul. Strzałkowskiego 2 Moda Męska Nowak",4.7,587,52.4123212,16.9064997
"71","Shop Tourist Tuttu",4.6,190,52.4126937,16.9031979
"72","Moja Zielarnia Sklep Zielarski",4.6,76,52.4107717,16.9116366
"73","Salon Metamorfozy",5,41,52.4136589,16.912011
"74","Żabka",3.2,30,52.412671,16.91079
"75","EVIO Poland Sp. o.o.",4.5,12,52.4132864,16.9195155
"76","Kancelaria Radcy Prawnego Maciej Puk",5,14,52.4129407,16.9221229
"77","Salon TUPET",4.7,297,52.4248853,16.9221677
"78","Stokrotka",3.6,294,52.4236711,16.9146457
"79","Natural Born Runners",4.8,274,52.4258828,16.9118874
"80","Sołackie Zoo",4.9,97,52.4248678,16.9121555
"81","Skołowani Serwis Rowerowy",4.8,174,52.424722,16.9117782
"82","Cyrkonia Tadeusz Marcinkowski. Hurtownia kamieni i artykułów jubilerskich.",5,8,52.4250755,16.9240141
"83","Printmania - Tonery i Tusze do drukarki | Dostawa gratis | Napełnianie i regeneracja tuszy i tonerów | HP Samsung Brother",4.5,62,52.4346858,16.9126886
"84","Profil. Bartosik K., Brzeziński K.",4.5,247,52.4279168,16.9065728
"85","Emplast - Rozwiązania i Technologie PTS",4.8,16,52.4333242,16.9122346
"86","Lewiatan",3.3,105,52.4335841,16.9107197
"87","Sklep mięsny ""Sokołów-Pozmeat""",3.3,15,52.430422,16.9089437
"88","RTV EURO AGD",3.9,1937,52.4351501,16.928772
"89","Medical Center Dynasplint",4.8,189,52.4277281,16.9250028
"90","Fishing Center Manzen",4.8,147,52.4346746,16.9322061
"91","PKO Polish Bank",4.1,33,52.4312283,16.9301292
"92","Dekorama",4.6,44,52.4350163,16.9269446
"93","Europejski Fundusz Leasingowy EFL SA Oddział w Poznaniu",3.7,3,52.4352021,16.924569
"94","Brovaria",4.4,2265,52.4080388,16.9323493
"95","Antykwariat im. J.K. Żupańskiego",4.5,195,52.4077436,16.9314151
"96","Ratuszova Restauracja & Apartamenty A.D. 1954",4.6,1580,52.4075403,16.9339818
"97","The Mexican",4.5,7413,52.4092015,16.9358537
"98","Zielona Weranda",4.4,2611,52.4077325,16.9309066
"99","Apteka Medkon",4.5,45,52.4088728,16.9380135
"100","Czarna Owca",3.5,1097,52.4062428,16.932354
"101","Cacao Republika",4.7,2120,52.4089857,16.9321941
"102","Czysz Galanteria Skórzana Samsonite",4.4,34,52.4059831,16.9318802
"103","Salon fryzjerski Kruk-Owski Style",4.3,120,52.407833,16.9320707
"104","12ft",4.8,348,52.4048598,16.9360489
"105","Inter Cars S.A.",4.4,430,52.4165414,16.9477193
"106","SYSTHERM - klimatyzacja, pompy ciepła, chłodnictwo, wentylacja",4.6,64,52.4164209,16.9483226
"107","Wydawnictwo Towarzystwa Chrystusowego Hlondianum",4.7,26,52.413808,16.9466179
"108","CHART - Pracownia Biżuterii Artystycznej",4.5,20,52.4201554,16.9437975
"109","King Of Balloons - balloons with helium for birthdays and weddings",4.7,41,52.4162883,16.9482314
"110","Advisor Technologie Informatyczne",4.6,36,52.416477,16.9483423
"111","Avargraf - Maszyny i Materiały Poligraficzne - oddział w Poznaniu",NA,NA,52.4155932,16.9501521
"112","oskarperek.com",5,1,52.420076,16.9428668
"113","Księgarnia Wydawnictwa Towarzystwa Chrystusowego Hlondianum",4.8,108,52.4133773,16.9464709
"114","Cytadela",4.8,1197,52.4175763,16.9366264
"115","Horbacz Sylwester. Kancelaria radcy prawnego",NA,NA,52.412596,16.9390499
"116","Cafe ""Na Trakcie""",4.4,289,52.4125809,16.9494851
"117","OSK 5 BIEG | Szkoła jazdy Poznań | Wielkopolska | Kategoria A B C D E C+E Nauka Jazdy",4.9,58,52.416645,16.9477109
"118","Santander Bank Polska S.A.",3.1,89,52.400846,16.9270094
"119","Matii Robata & Sushi",4.7,2587,52.4015045,16.9269235
"120","Multikino Stary Browar",4.6,5149,52.4010787,16.9281191
"121","Isabella and Jarogniew Drwęski Park",4.6,498,52.4000122,16.9235703
"122","Galeria MM",3.9,6645,52.4061635,16.9277701
"123","Ministerstwo Browaru",4.6,1578,52.4060277,16.9252352
"124","Apollo Cinema",4.6,1923,52.4046753,16.9264374
"125","RysunekArchitektura - kursy rysunku i malarstwa",4.9,166,52.4037069,16.9293054
"126","Charlie Monroe Kino Malta",4.7,1162,52.402645,16.931851
"127","iSpot Stary Browar",3.3,117,52.4010787,16.9281191
"128","JuliaRosa Wedding dresses Poznan",4.3,32,52.4036589,16.9281667
"129","Empik",4.4,481,52.4011496,16.9281406
"130","Manekin",4.5,10136,52.4024119,16.9306308
"131","Kancelaria notarialna Notariusz Peretiatkowicz Olaf",3.3,11,52.4099564,16.9234278
"132","ROYAL DENT Stomatologia",4.7,204,52.4071132,16.924014
"133","Notariusz Daniel Folwarski. Kancelaria notarialna",4.7,11,52.4089925,16.9229661
"134","BZ WBK Inwestycje Sp. z o.o.",2.4,16,52.4086409,16.926132
"135","YASUMI SPA Poznań - Salon Kosmetyczny - Depilacja Laserowa",4.7,281,52.4114185,16.9223206
"136","FHU Color Grafik Mikołaj Łaś",4.6,92,52.4095476,16.9266172
"137","Żabka",4.4,260,52.4162318,16.9300835
"138","ProfMedica - Private clinic",3.9,45,52.41667,16.931138
"139","The Mexican",4.5,7415,52.4092015,16.9358537
"140","BNP Paribas Bank Polska",2.5,60,52.4117103,16.9347707
"141","HigH - Riding School",4.8,218,52.4083198,16.9404824
"142","Grota Solna-Stary Rynek",4.8,87,52.4070714,16.9341722
"143","Pekin",4.2,3122,52.4104572,16.9296813
"144","District Court Poznań - Nowe Miasto and Wilda",2.1,49,52.4112215,16.929324
"145","Pomnik Karola Marcinkowskiego",4.6,41,52.4103864,16.9293348
"146","CCS Druk Cyfrowy Sp. z o.o.",4.3,1304,52.4091925,16.9270071
"147","Dialekt Group Sp. z o.o. Sp.k.",3.7,26,52.4141483,16.9213525
"148","AZS Poznań",4.6,60,52.4134503,16.9168692
"149","Żabka",4.1,192,52.4131473,16.9224784
"150","NuOrder Group",NA,NA,52.4126444,16.931791
"151","La Bottega",4.7,747,52.412365,16.931871
"152","MAGAZYN Food Concept",4.5,389,52.4197553,16.9214935
"153","Salon meblowy Design24 Poznań | Nowoczesne meble do salonu",4.8,39,52.4241703,16.9254839
"154","AZS Akademicki Związek Sportowy",4.1,161,52.418002,16.9231792
